theme,folder,image_id,file,original_filename,original_width,original_height,published_width,published_height
residential-neighborhood,04_midjourney,MJ_2_4,images/04_midjourney/residential-neighborhood_MJ_2_4.jpg,MJ_2_4.png,1232,928,1232,928
residential-neighborhood,04_midjourney,MJ_2_5,images/04_midjourney/residential-neighborhood_MJ_2_5.jpg,MJ_2_5.png,1232,928,1232,928
residential-neighborhood,04_midjourney,MJ_3_1,images/04_midjourney/residential-neighborhood_MJ_3_1.jpg,MJ_3_1.png,1232,928,1232,928
residential-neighborhood,04_midjourney,MJ_3_2,images/04_midjourney/residential-neighborhood_MJ_3_2.jpg,MJ_3_2.png,1232,928,1232,928
residential-neighborhood,04_midjourney,MJ_3_3,images/04_midjourney/residential-neighborhood_MJ_3_3.jpg,MJ_3_3.png,1232,928,1232,928
residential-neighborhood,04_midjourney,MJ_3_4,images/04_midjourney/residential-neighborhood_MJ_3_4.jpg,MJ_3_4.png,1232,928,1232,928
residential-neighborhood,04_midjourney,MJ_3_5,images/04_midjourney/residential-neighborhood_MJ_3_5.jpg,MJ_3_5.png,1232,928,1232,928
sports-complex,04_midjourney,MJ_1_1,images/04_midjourney/sports-complex_MJ_1_1.jpg,MJ_1_1.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_1_2,images/04_midjourney/sports-complex_MJ_1_2.jpg,MJ_1_2.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_1_3,images/04_midjourney/sports-complex_MJ_1_3.jpg,MJ_1_3.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_1_4,images/04_midjourney/sports-complex_MJ_1_4.jpg,MJ_1_4.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_1_5,images/04_midjourney/sports-complex_MJ_1_5.jpg,MJ_1_5.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_2_1,images/04_midjourney/sports-complex_MJ_2_1.jpg,MJ_2_1.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_2_2,images/04_midjourney/sports-complex_MJ_2_2.jpg,MJ_2_2.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_2_3,images/04_midjourney/sports-complex_MJ_2_3.jpg,MJ_2_3.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_2_4,images/04_midjourney/sports-complex_MJ_2_4.jpg,MJ_2_4.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_2_5,images/04_midjourney/sports-complex_MJ_2_5.jpg,MJ_2_5.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_3_1,images/04_midjourney/sports-complex_MJ_3_1.jpg,MJ_3_1.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_3_2,images/04_midjourney/sports-complex_MJ_3_2.jpg,MJ_3_2.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_3_3,images/04_midjourney/sports-complex_MJ_3_3.jpg,MJ_3_3.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_3_4,images/04_midjourney/sports-complex_MJ_3_4.jpg,MJ_3_4.png,1024,1024,1024,1024
sports-complex,04_midjourney,MJ_3_5,images/04_midjourney/sports-complex_MJ_3_5.jpg,MJ_3_5.png,1024,1024,1024,1024
wetland-park,05_stable_diffusion,SD_1_1,images/05_stable_diffusion/wetland-park_SD_1_1.jpg,SD_1_1.png,1024,768,1024,768
wetland-park,05_stable_diffusion,SD_1_2,images/05_stable_diffusion/wetland-park_SD_1_2.jpg,SD_1_2.png,1024,768,1024,768
wetland-park,05_stable_diffusion,SD_1_3,images/05_stable_diffusion/wetland-park_SD_1_3.jpg,SD_1_3.png,1024,768,1024,768
wetland-park,05_stable_diffusion,SD_1_4,images/05_stable_diffusion/wetland-park_SD_1_4.jpg,SD_1_4.png,1024,768,1024,768
